[Devices] Where are device files created and stored in the Linux file system?	Inside the <code>/dev/</code> directory.
[Devices] In <code>ls -l</code> output, what character at the very beginning of the permission string signifies a <b>block device</b>?	The letter <code>b</code> (e.g., <code>brw-rw----</code>).
[Devices] In <code>ls -l</code> output, what character at the very beginning of the permission string signifies a <b>character device</b>?	The letter <code>c</code> (e.g., <code>crw-rw-rw-</code>).
[Devices] What is the primary operational difference between a <b>block device</b> and a <b>character device</b>?	<b>Block devices</b> use buffers and caches to transfer data smoothly in large blocks (e.g., hard drives).<br><br><b>Character devices</b> transfer data as an unbuffered, real-time stream of individual characters/bytes (e.g., serial ports).
[Devices] Give two examples of hardware components that are represented as <b>character devices</b> in Linux.	1. Serial ports<br>2. Printer ports
[Devices] Based on the naming convention <code>sda</code>, <code>sda1</code>, and <code>sda2</code>, what do the trailing numbers represent?	Individual <b>partitions</b> on that specific drive (<code>sda</code>).
[Special Devices] What is <code>/dev/zero</code> and what does it output when queried?	A virtual character device that provides an endless, unbuffered stream of <b>null characters</b> (binary zeros, not the ASCII character "0").
[Special Devices] What is a common administrative use case for <code>/dev/zero</code>?	Wiping or "zeroing out" data on a hard drive by overwriting it completely with null characters.
[Special Devices] What is <code>/dev/null</code> and how does it behave when data is written to or read from it?	Often called the <b>"bit bucket"</b> or black hole. It is a write-only virtual device:<br>• Data written to it disappears forever.<br>• Reading or <code>cat</code>-ing it returns nothing immediately (size 0).
[Special Devices] What is the difference between <code>/dev/random</code> and <code>/dev/urandom</code>?	• <code>/dev/random</code>: Older/stricter; it <b>blocks (waits)</b> if the system hasn't generated enough <i>entropy</i> (environmental randomness).<br>• <code>/dev/urandom</code>: <b>Non-blocking</b>; it will always immediately return random data, making it preferred for scripts and general programmatic use.
[Bash Utilities] What built-in Bash environment variable can you use to quickly grab a random 32-bit integer without querying the <code>/dev</code> filesystem?	<code>$RANDOM</code> (e.g., <code>echo $RANDOM</code>)
[Hardware Tools] Which command lists all PCI devices on the system, including those integrated into the motherboard?	<code>lspci</code>
[Hardware Tools] How would you run <code>lspci</code> to filter the output specifically for network controllers, ignoring case sensitivity?	<pre><code>lspci | grep -i network</code></pre>
[Hardware Tools] Which command lists the USB controllers and any connected USB devices on the system?	<code>lsusb</code>
[Hardware Tools] What tool allows you to read a system's DMI (Desktop Management Interface) table to uncover deep hardware details (like BIOS version, max supported RAM, or CPU specifications)?	<code>dmidecode</code> (Note: Requires root privileges to execute).
[Hardware Tools] What command and option flag would you use with <code>dmidecode</code> to display information specifically regarding the system's processor?	<pre><code>dmidecode -t processor</code></pre>
[Hardware Tools] What command flag allows you to view memory statistics (RAM) in human-readable format (e.g., GB, MB)?	<code>free -h</code>
